Victoria;Tori;
Michael;Mike;
Donald;Don;
James;Jim;Jimmy;
Patrice;Patricia;Patty;Patti;
Jose Luis;Jose;
Andrew;Andy;
Susan;Sue;Suzanne;
Elizabeth;Beth;Liz;Lizzy;
Thomas;Tom;
Catherine;Cathy;
Theodore;Ted;Ed;
Edward;Ed;
Lawrence;Larry;
Rebecca;Becky;
Phillip;Phil;
Jonathan;Jon;
Robert;Bob;Bobby;
Nathaniel;Nat;Natasha;
Alexander;Alexandra;Alex;
Matthew;Matt;
Jennifer;Jenny;
Xavier;Xevi;
Samuel;Samantha;Sam;
Stephen;Steven;Steve;
Christopher;Chris;Christine;
Richard;Dick;
Jeffrey;Jeff;
Judith;Judy;
Timothy;Tim;
